"","participant","activity","body_time_mean_X","body_time_mean_Y","body_time_mean_Z","body_time_stdev_X","body_time_stdev_Y","body_time_stdev_Z","gravity_time_mean_X","gravity_time_mean_Y","gravity_time_mean_Z","gravity_time_stdev_X","gravity_time_stdev_Y","gravity_time_stdev_Z","body_timeJerk_mean_X","body_timeJerk_mean_Y","body_timeJerk_mean_Z","body_timeJerk_stdev_X","body_timeJerk_stdev_Y","body_timeJerk_stdev_Z","gyro_time_mean_X","gyro_time_mean_Y","gyro_time_mean_Z","gyro_time_stdev_X","gyro_time_stdev_Y","gyro_time_stdev_Z","gyro_timeJerk_mean_X","gyro_timeJerk_mean_Y","gyro_timeJerk_mean_Z","gyro_timeJerk_stdev_X","gyro_timeJerk_stdev_Y","gyro_timeJerk_stdev_Z","body_frequency_mean_X","body_frequency_mean_Y","body_frequency_mean_Z","body_frequency_stdev_X","body_frequency_stdev_Y","body_frequency_stdev_Z","body_frequencyJerk_mean_X","body_frequencyJerk_mean_Y","body_frequencyJerk_mean_Z","body_frequencyJerk_stdev_X","body_frequencyJerk_stdev_Y","body_frequencyJerk_stdev_Z","gyro_frequency_mean_X","gyro_frequency_mean_Y","gyro_frequency_mean_Z","gyro_frequency_stdev_X","gyro_frequency_stdev_Y","gyro_frequency_stdev_Z"
"1",1,"laying","4.0347433e-001","-1.5074404e-002","-1.1816739e-001","-9.1481115e-001","-8.9523112e-001","-8.9174811e-001","-2.5504375e-001","7.7465873e-001","5.8977655e-001","-7.8374234e-001","-9.8892557e-001","-8.9538076e-001","2.3446864e-002","8.1333847e-004","5.2811325e-002","-9.4745338e-001","-8.9722597e-001","-9.7816837e-001","3.1551954e-002","-1.3199514e-001","5.4327885e-001","-9.5513929e-001","-9.3360561e-001","-8.1188693e-001","-1.1906637e-001","-4.8786067e-002","-1.5544951e-001","-9.6974195e-001","-9.5314390e-001","-9.7210194e-001","-9.2631396e-001","-8.8694847e-001","-9.2879208e-001","-9.1037489e-001","-9.0562736e-001","-8.8104465e-001","-9.4917576e-001","-8.9800411e-001","-9.7295990e-001","-9.5022293e-001","-9.0367544e-001","-9.8246061e-001","-9.5217596e-001","-9.3313376e-001","-8.3554013e-001","-9.5626437e-001","-9.3427842e-001","-8.2168422e-001"
"2",1,"sitting","1.4450396e-001","1.8926326e-001","6.2769317e-002","-9.0429967e-001","-1.8193654e-001","-4.4315051e-001","8.7409866e-001","4.2479149e-002","3.3309449e-001","-8.1418938e-001","-2.5461649e-001","-3.4244329e-001","1.3805762e-001","-3.4777099e-001","-3.3527233e-001","-9.8122357e-001","-9.6614228e-001","-9.8349118e-001","-4.6489666e-002","-2.8289794e-001","2.2948437e-001","-9.7335570e-001","-9.7220339e-001","-9.1719890e-001","-1.1571413e-001","-6.6663019e-002","1.6335990e-002","-9.8520162e-001","-9.8666522e-001","-9.8196657e-001","-9.2128754e-001","-4.3277861e-001","-6.1401743e-001","-8.9802907e-001","-1.2526373e-001","-4.0381329e-001","-9.8209043e-001","-9.6914184e-001","-9.8156570e-001","-9.8187701e-001","-9.6489086e-001","-9.8385314e-001","-9.6753600e-001","-9.6904380e-001","-8.9992251e-001","-9.7513158e-001","-9.7447678e-001","-9.3123209e-001"
"3",1,"standing","2.8858451e-001","-2.0294171e-002","-1.3290514e-001","-9.9527860e-001","-9.8311061e-001","-9.1352645e-001","9.6339614e-001","-1.4083968e-001","1.1537494e-001","-9.8524969e-001","-9.8170843e-001","-8.7762497e-001","7.7996345e-002","5.0008031e-003","-6.7830808e-002","-9.9351906e-001","-9.8835999e-001","-9.9357497e-001","-6.1008489e-003","-3.1364791e-002","1.0772540e-001","-9.8531027e-001","-9.7662344e-001","-9.9220528e-001","-9.9167400e-002","-5.5517369e-002","-6.1985797e-002","-9.9211067e-001","-9.9251927e-001","-9.9205528e-001","-9.9478319e-001","-9.8298410e-001","-9.3926865e-001","-9.9542175e-001","-9.8313297e-001","-9.0616498e-001","-9.9233245e-001","-9.8716991e-001","-9.8969609e-001","-9.9582068e-001","-9.9093631e-001","-9.9705167e-001","-9.8657442e-001","-9.8176153e-001","-9.8951478e-001","-9.8503264e-001","-9.7388607e-001","-9.9403493e-001"
"4",1,"walking","2.8202157e-001","-3.7696218e-002","-1.3489730e-001","-3.2828019e-001","-1.3715339e-001","-1.8908594e-001","9.4530277e-001","-2.4594143e-001","-3.2164781e-002","-9.8404763e-001","-9.2892805e-001","-9.3255981e-001","-1.5648565e-001","-1.4285296e-001","-1.1307869e-001","-1.8375939e-001","-1.7046131e-001","-6.1382990e-001","-4.7972952e-001","8.2034033e-002","2.5644309e-001","-3.2354578e-001","-1.4193972e-001","-4.5659800e-001","9.4248032e-002","-4.7621005e-001","-1.4213364e-001","-3.4571615e-001","-4.8674954e-001","-4.2150795e-001","-2.6090491e-001","-1.2256680e-001","-3.3121596e-001","-3.5670701e-001","-1.9956719e-001","-1.7778017e-001","-2.1046447e-001","-2.6352811e-001","-5.3570907e-001","-2.2825321e-001","-1.2427445e-001","-6.9843617e-001","-1.8478068e-001","-1.9802441e-001","-3.0755844e-001","-3.6807715e-001","-1.1504726e-001","-5.6531090e-001"
"5",1,"walking_downstairs","3.5845532e-001","1.7975385e-002","-8.4159118e-002","-1.7198789e-001","-1.8833245e-001","-3.9955531e-001","9.3118552e-001","-2.5003777e-001","-2.6669006e-002","-9.3663325e-001","-9.1397002e-001","-9.2432289e-001","2.3524531e-001","-8.7284312e-002","-2.3250059e-001","-2.0000190e-001","-2.1783518e-001","-5.9780538e-001","-3.2727859e-002","-1.1106165e-001","1.3546298e-001","-6.7804595e-001","-3.3117489e-001","-3.2873594e-001","-6.8313628e-002","1.9193884e-002","2.5862246e-002","-4.5732188e-001","-4.8743110e-001","-3.1433835e-001","-2.4857354e-001","-1.6981280e-001","-4.8820241e-001","-1.4360210e-001","-2.4966759e-001","-3.9879402e-001","-2.1539579e-001","-2.3152799e-001","-5.7063166e-001","-2.5571397e-001","-2.5745173e-001","-6.2243440e-001","-5.2783791e-001","-3.4781888e-001","-1.9086405e-001","-7.2811282e-001","-3.2579163e-001","-4.4209844e-001"
"6",1,"walking_upstairs","1.8360372e-001","-7.6558729e-002","-4.6956100e-002","-3.6751584e-001","-9.9160728e-002","2.0546431e-002","9.3935459e-001","-2.8099607e-001","-7.8229890e-002","-8.8148930e-001","-8.6283115e-001","-8.1595065e-001","2.5879203e-001","1.1938596e-001","-2.0514992e-001","-4.4528855e-001","-4.7970745e-001","-6.5229315e-001","2.2105528e-001","-2.6354507e-001","3.4448107e-002","-6.8634674e-001","-1.3219911e-003","-5.5655051e-001","-2.1559862e-001","3.4228727e-002","-1.5072922e-002","-6.5063937e-001","-5.0593079e-001","-6.5921495e-001","-4.1639013e-001","-2.9143660e-001","-3.6168731e-001","-3.4913057e-001","-6.7173086e-002","1.1530193e-001","-4.7758607e-001","-4.9015987e-001","-6.5764263e-001","-4.6030501e-001","-5.0439944e-001","-6.4603934e-001","-6.0306889e-001","-2.7191669e-001","-5.2365016e-001","-7.1273105e-001","1.2715588e-001","-6.0834086e-001"
"7",2,"laying","1.7376905e-001","-2.4869125e-002","-9.4733441e-002","-8.9386160e-001","-9.4420408e-001","-9.6082431e-001","-6.9553313e-001","7.2141371e-001","6.7577988e-001","-7.9814709e-001","-9.9054068e-001","-9.8086850e-001","1.4824513e-001","1.8076146e-002","-9.9643768e-003","-9.1683397e-001","-9.4576047e-001","-9.6825575e-001","-2.3142606e-003","-3.8134958e-001","2.8917439e-001","-9.5270527e-001","-9.2946010e-001","-8.8612050e-001","-1.0614180e-001","-2.4243291e-002","-7.3149089e-002","-9.6026856e-001","-9.3939114e-001","-9.0528924e-001","-8.8818832e-001","-9.3993626e-001","-9.5811371e-001","-8.9602795e-001","-9.4912119e-001","-9.6494459e-001","-9.2166437e-001","-9.4530182e-001","-9.6271005e-001","-9.1897449e-001","-9.5029433e-001","-9.7261070e-001","-9.4325670e-001","-9.2403925e-001","-8.6836961e-001","-9.5565802e-001","-9.3346553e-001","-9.0292608e-001"
"8",2,"sitting","2.9648714e-001","-1.4684879e-002","-1.3980848e-001","-9.8771367e-001","-8.3424238e-001","-9.4105035e-001","9.5201324e-001","-1.2719693e-001","1.7324768e-001","-9.7442821e-001","-8.7785609e-001","-9.3367020e-001","7.4167624e-002","-8.8429566e-002","-5.7513147e-004","-9.8766148e-001","-9.5062266e-001","-9.8048751e-001","-5.0171548e-002","-7.3211502e-002","1.8379030e-001","-9.8222253e-001","-9.5870792e-001","-9.2994218e-001","-9.2742071e-002","-1.6699782e-002","-1.1955963e-001","-9.7836982e-001","-9.8580596e-001","-9.7401080e-001","-9.8753271e-001","-8.5940180e-001","-9.6188356e-001","-9.8763692e-001","-8.3148234e-001","-9.3410666e-001","-9.8622758e-001","-9.4453649e-001","-9.7477076e-001","-9.9073206e-001","-9.6343171e-001","-9.8561403e-001","-9.7484500e-001","-9.6180088e-001","-9.1597823e-001","-9.8460294e-001","-9.5706297e-001","-9.4151623e-001"
"9",2,"standing","2.5717778e-001","-2.3285230e-002","-1.4653762e-002","-9.3840400e-001","-9.2009078e-001","-6.6768331e-001","9.3648925e-001","-2.8271916e-001","1.1528825e-001","-9.2542727e-001","-9.3701413e-001","-5.6428842e-001","7.2046007e-002","4.5754401e-002","-1.0604266e-001","-9.0668276e-001","-9.3801639e-001","-9.3593583e-001","1.1997616e-001","-9.1792335e-002","1.8962854e-001","-8.8308911e-001","-8.1616360e-001","-9.4088123e-001","-2.0489621e-001","-1.7448771e-001","-9.3389340e-002","-9.0122415e-001","-9.1086005e-001","-9.3925042e-001","-9.1850969e-001","-9.1821319e-001","-7.8909145e-001","-9.4829035e-001","-9.2513687e-001","-6.3631674e-001","-8.9963316e-001","-9.3748500e-001","-9.2355140e-001","-9.2442913e-001","-9.4321038e-001","-9.4789152e-001","-8.2355788e-001","-8.0791598e-001","-9.1791256e-001","-9.0326274e-001","-8.2267700e-001","-9.5616508e-001"
"10",2,"walking","2.0396243e-001","-3.2344520e-002","-9.6881229e-002","-4.6550359e-001","-1.8078545e-001","-4.5510762e-001","9.1990897e-001","-3.4745672e-001","1.9693368e-002","-9.5363666e-001","-9.4686234e-001","-9.7638778e-001","-7.6950116e-002","1.9753131e-001","1.7866917e-001","-3.6921663e-001","-1.9306750e-001","-6.7787086e-001","-2.7833413e-001","2.3435168e-001","8.1746263e-002","-6.1468318e-001","-5.4311034e-001","-4.9999531e-001","-5.6789178e-002","-1.9603468e-001","1.1923738e-001","-5.4265928e-001","-7.3899614e-001","-5.6307338e-001","-3.6219909e-001","-1.2099094e-001","-5.2125699e-001","-5.1212400e-001","-2.6679379e-001","-4.6151164e-001","-3.5101722e-001","-2.0385785e-001","-6.4843474e-001","-4.4959647e-001","-2.3815316e-001","-7.0533045e-001","-5.1254549e-001","-5.6839968e-001","-4.3328633e-001","-6.4706719e-001","-5.3129687e-001","-5.6957739e-001"
